,logQ - logK
R_1,-4.24628909286
R_2,-4.18185013705
R_3,-1.5735611813
R_4,-3.84814442776
R_5,-3.84813788037
R_6,-2.25521321299
R_7,-2.64575608705
R_8,-4.66090147249
R_9,-2.25523998812
