,Normalized absolute activities
A,2.3606813924217803e-05
B,7.482910302612351e-10
C,4.879666418086932e-07
D,6.957920566928105e-10
E,8.78173864775125e-06
F,4.2997517566407614e-15
A_ext,0.8807681191638712
D_ext,6.4998406825252686e-15
E_ext,0.11919900287282115
F_ext,1.6111494239794058e-17
