,Entropy
A,0.00025150640920265427
B,1.5724010879095215e-08
C,7.091628374483929e-06
D,1.4671450621077302e-08
E,0.00010224434415504204
F,1.4223673020631826e-13
A_ext,0.11182310389348257
D_ext,2.1233028731274182e-13
E_ext,0.2535316171834639
F_ext,6.229831272874163e-16
