,fullS*net_flux
A,-6.904938842922093e-10
B,1.316966091735594e-09
C,-7.030287463294371e-11
D,-3.438032081248821e-10
E,0.0
F,0.0
A_ext,-69.84973248323195
D_ext,106.87375612921853
E_ext,-46.44174850186703
F_ext,9.417724855668071
