,Absolute activities
A,9.80183127465e-13
B,3.10699378853e-17
C,2.0260958154e-14
D,2.88901177594e-17
E,3.64628284019e-13
F,1.7853083172e-22
A_ext,3.65705449446e-08
D_ext,2.69881153326e-22
E_ext,4.94928505819e-09
F_ext,6.68968496248e-25
