,Entropy of Concentrations
A,0.03474063746653625
B,0.002002515674025681
C,0.018766686832300376
D,0.003950804298981085
E,0.04794299794810345
F,0.0004646383875258152
A_ext,0.3497745315789944
D_ext,5.981719124089313e-05
E_ext,0.3497745315789944
F_ext,5.981719124089313e-05
