,Log Concentrations
A,-11.1543064353
B,-14.5263926422
C,-11.9123043525
D,-13.7489449105
E,-10.7464174133
F,-16.1669984692
A_ext,-6.90775527898
D_ext,-18.420680744
E_ext,-6.90775527898
F_ext,-18.420680744
