,Backward Log likelihoods
R_1,-4.24655115349
R_2,-4.17887738815
R_3,-1.56478910156
R_4,-3.83866212689
R_5,-3.83866212689
R_6,-2.25368227441
R_7,-2.64343174226
R_8,-4.67173582748
R_9,-2.25368227441
