,Forward likelihoods
R_1,69.8640459972
R_2,65.292513906
R_3,4.78166638356
R_4,46.4632708782
R_5,46.4632708782
R_6,9.52273668505
R_7,14.0613759209
R_8,106.883112144
R_9,9.52273668505
