,Chemical potential
A,-27.6510369759
B,-38.0102909497
C,-31.5300806043
D,-38.0830320833
E,-28.6398979602
F,-50.0772809188
A_ext,-17.1240227035
D_ext,-49.6640605426
E_ext,-19.1240227035
F_ext,-55.6640605426
