,logK - logQ
R_1,4.246551156328435
R_2,4.178877391280203
R_3,1.564789101561916
R_4,3.8386621342957516
R_5,3.838662134295749
R_6,2.2536822747232907
R_7,2.6434317423900464
R_8,4.6717358334111445
R_9,2.2536822747232925
