,fullS*net_likelihood
A,-0.000279357057644
B,-0.000521431281989
C,-0.000541372613847
D,-0.000545863885222
E,-0.000284910798648
F,-0.000250371956671
A_ext,-71.087316383
D_ext,109.249522585
E_ext,-47.5922768027
F_ext,9.43249390808
