,Absolute activities
A,9.808201043e-13
B,3.0861858279e-17
C,1.98380107677e-14
D,2.81245169294e-17
E,3.56162994333e-13
F,1.79221561881e-22
A_ext,3.65705449446e-08
D_ext,2.69881153326e-22
E_ext,4.94928505819e-09
F_ext,6.68968496248e-25
