,fullS*net_flux
A,-0.000279357057643
B,-0.000521431281982
C,-0.000541372613849
D,-0.00054586388525
E,-0.000284910798641
F,-0.000250371956671
A_ext,-71.087316383
D_ext,109.249522585
E_ext,-47.5922768027
F_ext,9.43249390808
