,Forward probabilities
R_1,0.1781410012974092
R_2,0.15897707720710794
R_3,0.019567789114328982
R_4,0.14131019908154058
R_5,0.14130843844338395
R_6,0.009657268263037073
R_7,0.02828457385048504
R_8,0.3105418522461371
R_9,0.009671494037815318
