,Entropy of Concentrations
A,0.0330240200244
B,0.00205240622645
C,0.0136572747437
D,0.00391007507317
E,0.0497437582338
F,0.00167459548167
A_ext,0.364676061686
D_ext,5.71425454943e-05
E_ext,0.324004257626
F_ext,0.00055346399877
