,Backward probabilities
R_1,4.4192359359709375e-05
R_2,4.951953630256815e-05
R_3,0.0004023178653468192
R_4,5.5710565813376926e-05
R_5,5.571125994140621e-05
R_6,0.0008151861304469738
R_7,0.0002783309088426856
R_8,2.535075735876592e-05
R_9,0.0008139870753424839
