,Log Concentrations
A,-11.5061502973
B,-14.7869005672
C,-12.5833373136
D,-14.0493652213
E,-10.9875782903
F,-15.0177576098
A_ext,-7.35472743541
D_ext,-18.7589685881
E_ext,-7.05810151722
F_ext,-16.2608321175
