,Concentrations
A,1.006798171055375e-05
B,3.785564752366941e-07
C,3.428672789257033e-06
D,7.914768381795843e-07
E,1.691045834699911e-05
F,3.0051817273173904e-07
A_ext,0.0006395617157071048
D_ext,7.12990028367584e-09
E_ext,0.0008604100180009074
F_ext,8.669825177365117e-08
