,logQ - logK
R_1,-4.15142286187
R_2,-4.08754145425
R_3,-1.88397820065
R_4,-3.93783395371
R_5,-3.92947677312
R_6,-1.25445852648
R_7,-2.27281909204
R_8,-4.70960336683
R_9,-1.24307450763
