,Chemical potential
A,-28.5232424953
B,-38.6560786826
C,-33.1935419164
D,-38.8277608719
E,-29.237725209
F,-47.2283631773
A_ext,-18.2320470971
D_ext,-50.5026612876
E_ext,-19.4967244413
F_ext,-50.3098904219
