,Absolute activities
A,4.09744542991e-13
B,1.62883966327e-17
C,3.83908661831e-15
D,1.37188500331e-17
E,2.00547511928e-13
F,3.08306359262e-21
A_ext,1.20759846388e-08
D_ext,1.16673676027e-22
E_ext,3.40941729562e-09
F_ext,1.41479072695e-22
