,fullS*net_probabilities
A,3.78001826195e-06
B,-1.1095110102e-05
C,1.31043992991e-06
D,-1.28151568163e-06
E,-1.76133228466e-06
F,-1.54248298827e-05
A_ext,-0.178096808938
D_ext,0.310516501489
E_ext,-0.141252727183
F_ext,0.00885750696247
