,Delta G
R_1,-10.2911953981
R_2,-10.1328361873
R_3,-4.67029942114
R_4,-9.76171785226
R_5,-9.74100076771
R_6,-3.10974772854
R_7,-5.63421895552
R_8,-11.6749004157
R_9,-3.08152724454
