,Backward Log likelihoods
R_1,-4.150889374419858
R_2,-4.037074018904676
R_3,-1.9421987974049966
R_4,-3.9192714630085352
R_5,-3.919259003546045
R_6,-1.2360248153132163
R_7,-2.3106305579956947
R_8,-4.706632677719308
R_9,-1.237496795476812
