,log Q_r
R_1,-4.151422861870667
R_2,-3.2807502698916924
R_3,-1.0771870162906776
R_4,-2.3242515849892413
R_5,-3.929476773119662
R_6,1.9727062109585045
R_7,-1.4660279076751745
R_8,-4.709603366826705
R_9,-1.2430745076314231
