,Normalized absolute activities
A,2.645900278436392e-05
B,1.0518132315111564e-09
C,2.4790666589975527e-07
D,8.858863343837157e-10
E,1.2950232693208751e-05
F,1.9908694228417478e-13
A_ext,0.7797993082448891
D_ext,7.534131135317782e-15
E_ext,0.22016103267505197
F_ext,9.135924425118902e-15
