,Backward probabilities
R_1,3.83301492449e-05
R_2,4.10138796782e-05
R_3,0.000560034746352
R_4,5.76347564954e-05
R_5,5.76347564954e-05
R_6,0.000281211106933
R_7,0.000190443619317
R_8,2.50544660605e-05
R_9,0.000281211106933
