,logK - logQ
R_1,4.09393657471
R_2,4.31524941731
R_3,1.72797770149
R_4,4.20374917629
R_5,3.9666651355
R_6,2.37534577449
R_7,2.87128146789
R_8,4.4333120896
R_9,2.17507790444
