,Forward Log likelihoods
R_1,4.631214397232695
R_2,4.587621991564117
R_3,1.5271110790831364
R_4,4.291654531074887
R_5,4.289916128534307
R_6,2.56583781006867
R_7,2.8381550964309348
R_8,5.095425097660194
R_9,2.575997831440448
