,log Q_r
R_1,-4.09393657471
R_2,-3.50845823295
R_3,-0.921186517128
R_4,-2.59016680757
R_5,-3.9666651355
R_6,0.851818962951
R_7,-2.06449028352
R_8,-4.4333120896
R_9,-2.17507790444
