,fullS*net_likelihood
A,-0.00911360678956
B,-0.692701136069
C,0.296708497349
D,-0.0942051925705
E,-0.126968570537
F,-0.133648415565
A_ext,-102.628889609
D_ext,163.267112243
E_ext,-72.9466428768
F_ext,13.068348667
