,Net likelihoods
R_1,102.628889609
R_2,98.2503108141
R_3,4.38769240128
R_4,73.0736114473
R_5,72.9466428768
R_6,12.9347002514
R_7,17.0256841553
R_8,163.267112243
R_9,13.068348667
