,Delta G
R_1,-10.148689410775065
R_2,-10.697314251714227
R_3,-4.283581018198613
R_4,-10.42091003911822
R_5,-9.833189088815473
R_6,-5.8883781095697945
R_7,-7.117780966237816
R_8,-10.989986443931942
R_9,-5.391922833568733
