,fullS*forward_rate
A,-1.22670984352939
B,-2.849915903734974
C,1.5321918331321527
D,1.9855681977622908
E,-0.12694476456026393
F,-0.1328715228187729
A_ext,-103.63863252872372
D_ext,164.27323694508374
E_ext,-73.9603489516046
F_ext,14.144426538993551
