,logQ - logK
R_1,-4.09393657471383
R_2,-4.315249417309321
R_3,-1.727977701488641
R_4,-4.203749176288018
R_5,-3.966665135503856
R_6,-2.3753457744915867
R_7,-2.8712814678853698
R_8,-4.433312089603701
R_9,-2.1750779044380906
