,Entropy
A,0.00035411781686244003
B,1.633855152336002e-08
C,6.920559457712028e-06
D,8.351973388833006e-09
E,7.647264692266413e-05
F,1.1774260688447767e-13
A_ext,0.11182960496758297
D_ext,2.1232854710295183e-13
E_ext,0.2535304814536434
F_ext,6.22977996443307e-16
