,Forward probabilities
R_1,0.183760026245
R_2,0.175921574366
R_3,0.00824434394705
R_4,0.130852513138
R_5,0.130625236403
R_6,0.0232953580182
R_7,0.0305868873884
R_8,0.292317751775
R_9,0.0235332457796
