,Forward likelihoods
R_1,102.638632529
R_2,98.2604878448
R_3,4.60485452747
R_4,73.0872937162
R_5,72.9603489516
R_6,13.0115550162
R_7,17.0842177105
R_8,163.273236945
R_9,13.144426539
