,Absolute activities
A,1.43090770504e-12
B,3.23464833247e-17
C,1.97367674142e-14
D,1.59979017849e-17
E,2.65486662127e-13
F,1.46922395087e-22
A_ext,3.65705449446e-08
D_ext,2.69881153326e-22
E_ext,4.94928505819e-09
F_ext,6.68968496248e-25
