	Forward likelihoods	Backward likelihoods	Delta G	log Q_r	log K_eq	Delta G0	logK - logQ	logQ - logK	Forward Log likelihoods	Backward Log likelihoods	Forward probabilities	Backward probabilities	Net probabilities	Net likelihoods	Forward rate	Backward rate	Reduce rate	Thermodynamic driving force	Net flux	Forward Entropy Production	Backward Entropy Production	Reaction Entropy Production	Net Reaction Entropy Production	Microscopic Reaction Entropy Production Rate	Microscopic Reaction Entropy Production Net Flux	Microscopic Reaction Entropy Production Net Flux Difference	Total Entropy Production	Total Microscopic Entropy Production Rate	Macroscopic Reaction Entropy Production Net Flux	Macroscopic Reaction Entropy Production Net Flux Difference	Total Macroscopic Entropy Production Net Flux	Total Macroscopic Entropy Production Net Flux Difference
R_1	102.63863252872372	0.00974292013993997	-10.148689410775065	-4.09393657471383	-0.0	0.0	4.09393657471383	-4.09393657471383	4.631214397232695	-4.631214397232695	0.18376002624476956	1.7443327297984273e-05	0.1837425829174716	102.62888960858378	103.63863252872372	1.00974292013994	1.0	10.148689410775065	102.62888960858378	0.31131237687483526	0.00019111874652991663	0.3115034956213652	0.3111212581283053	32.264182009375816	31.96925786481305	31.930029255333547	1.8380485862487848	163.95882630920363	50.85827618357539	50.79586937189266	300.0928848384308	297.64880965102367
R_2	98.26048784477945	0.010177030685820371	-10.697314251714227	-3.5084582329486658	0.8067911843606557	-2.0	4.315249417309321	-4.315249417309321	4.587621991564117	-4.587621991564117	0.17592157436555297	1.8220541133932343e-05	0.17590335382441905	98.25031081409362	99.26048784477945	1.0101770306858204	1.0	10.697314251714227	98.25031081409362	0.30570190753010357	0.00019884005418451813	0.3059007475842881	0.30550306747591904	30.344321340173256	30.0548435284199	30.015771334168065	1.8380485862487848	163.95882630920363	49.94353169093892	49.87860360804918	300.0928848384308	297.64880965102367
R_3	4.60485452747366	0.21716212619394631	-4.283581018198613	-0.9211865171279854	0.8067911843606557	-2.0	1.727977701488641	-1.727977701488641	1.5271110790831364	-1.5271110790831364	0.008244343947052271	0.00038879822368640586	0.007855545723365866	4.387692401279714	5.604854527473661	1.2171621261939465	1.0000000000000002	4.283581018198613	4.387692401279715	0.0395582411103875	0.003053018632618836	0.042611259743006336	0.03650522247776866	0.22543420543663814	0.1869651005833451	0.160173687272731	1.8380485862487848	163.95882630920363	6.957017327259957	5.960102255718906	300.0928848384308	297.64880965102367
R_4	73.08729371616487	0.013682268820672286	-10.42091003911822	-2.590166807566707	1.6135823687213113	-4.0	4.203749176288018	-4.203749176288018	4.291654531074887	-4.291654531074887	0.13085251313810195	2.4496176689329045e-05	0.1308280169614126	73.07361144734419	74.08729371616487	1.0136822688206724	1.0	10.42091003911822	73.07361144734419	0.26611272041917794	0.0002600757488345903	0.2663727961680125	0.26585264467034336	19.715834913478442	19.46482220732396	19.42681285888953	1.8380485862487848	163.95882630920363	43.48991721033786	43.40499357738475	300.0928848384308	297.64880965102367
R_5	72.9603489516046	0.013706074797741318	-9.833189088815473	-3.966665135503856	-0.0	0.0	3.966665135503856	-3.966665135503856	4.289916128534307	-4.289916128534307	0.13062523640328474	2.4538797940832598e-05	0.1306006976053439	72.94664287680686	73.9603489516046	1.0137060747977413	1.0	9.833189088815473	72.94664287680686	0.2658775905019383	0.00026048560007634167	0.2661380761020147	0.26561710490186197	19.664663427770385	19.41387919333411	19.37587609324747	1.8380485862487848	163.95882630920363	43.451595142977	43.366537679566505	300.0928848384308	297.64880965102367
R_6	13.011555016174778	0.0768547647653867	-5.8883781095697945	0.851818962951036	3.2271647374426227	-8.0	2.3753457744915867	-2.3753457744915867	2.56583781006867	-2.56583781006867	0.0232953580182239	0.00013759763982017917	0.02315776037840372	12.934700251409392	14.011555016174778	1.0768547647653868	1.0000000000000002	5.8883781095697945	12.934700251409392	0.08757892560731019	0.0012234049408512192	0.0888023305481614	0.08635552066645898	1.228434363844098	1.1486315272670433	1.1169827748750358	1.8380485862487848	163.95882630920363	14.49850006901105	14.099016485418838	300.0928848384308	297.64880965102367
R_7	17.084217710516285	0.05853355517615796	-7.117780966237816	-2.064490283524714	0.8067911843606557	-2.0	2.8712814678853698	-2.8712814678853698	2.8381550964309348	-2.8381550964309348	0.03058688738840378	0.00010479609256641568	0.030482091295837364	17.025684155340127	18.084217710516285	1.0585335551761579	1.0	7.117780966237816	17.025684155340127	0.10666210059684963	0.0009602983729428498	0.10762239896979249	0.10570180222390678	1.929917156705159	1.8323449728996895	1.7996454993144655	1.8380485862487848	163.95882630920363	17.571198292418885	17.257628007935594	300.0928848384308	297.64880965102367
R_8	163.27323694508374	0.006124702484684282	-10.989986443931942	-4.433312089603701	-0.0	0.0	4.433312089603701	-4.433312089603701	5.095425097660194	-5.095425097660194	0.2923177517753914	1.0965417811972715e-05	0.2923067863575794	163.26711224259904	164.27323694508374	1.0061247024846842	0.9999999999999998	10.989986443931942	163.26711224259904	0.359525659505154	0.00012523344978882973	0.35965089295494285	0.3594004260553652	59.06056985219507	58.719162708225625	58.67826970081923	1.8380485862487848	163.95882630920363	58.719162708225625	58.67826970081923	300.0928848384308	297.64880965102367
R_9	13.144426538993551	0.07607787201925117	-5.391922833568733	-2.1750779044380906	-0.0	0.0	2.1750779044380906	-2.1750779044380906	2.575997831440448	-2.575997831440448	0.02353324577957465	0.00013620672269762997	0.02339703905687702	13.0683486669743	14.144426538993551	1.0760778720192512	1.0	5.391922833568733	13.0683486669743	0.08823416664316656	0.0012124219140348248	0.08944658855720139	0.08702174472913174	1.2493263487068287	1.1689192063369014	1.1372305017287265	1.8380485862487848	163.95882630920363	14.603686213686174	14.207788964237952	300.0928848384308	297.64880965102367
