,Backward likelihoods
R_1,0.00974292013993997
R_2,0.010177030685820371
R_3,0.21716212619394631
R_4,0.013682268820672286
R_5,0.013706074797741318
R_6,0.0768547647653867
R_7,0.05853355517615796
R_8,0.006124702484684282
R_9,0.07607787201925117
