,Chemical potential
A,-27.6510369789
B,-38.0102909554
C,-31.5300806076
D,-38.0830320841
E,-28.6398979581
F,-50.0772809229
A_ext,-17.1240227035
D_ext,-49.6640605426
E_ext,-19.1240227035
F_ext,-55.6640605426
