,log Q_r
R_1,-4.2465511575
R_2,-3.37208620806
R_3,-0.757997917348
R_4,-2.22507976475
R_5,-3.83866213347
R_6,0.973482464369
R_7,-1.83664055704
R_8,-4.67173583308
R_9,-2.25368227307
