,Backward rate
R_1,1.01431351394
R_2,1.01531569143
R_3,1.20913211413
R_4,1.02152237616
R_5,1.02152237616
R_6,1.10501182952
R_7,1.07111679586
R_8,1.00935601494
R_9,1.10501182952
