,Absolute activities
A,9.01999412498e-13
B,2.15101598495e-17
C,1.4543453947e-13
D,1.38780869543e-15
E,1.32972310885e-10
F,2.21460742365e-23
A_ext,3.60495575197e-08
D_ext,1.81381037958e-22
E_ext,4.76011747543e-09
F_ext,6.8875641129e-25
