,Entropy of Concentrations
A,0.0313706847384
B,0.00161746858651
C,0.0331995113569
D,0.0138180427697
E,0.234794977857
F,0.000199368222852
A_ext,0.360723029769
D_ext,4.73567068785e-05
E_ext,0.361512434414
F_ext,5.54725999645e-05
