,Backward Entropy Production
R_1,1.48862141141e-08
R_2,1.7983389522e-08
R_3,5.45052537226e-14
R_4,2.61860105747e-09
R_5,1.10133393149e-15
R_6,1.45777894977e-15
R_7,1.17916671097e-08
R_8,6.74833434398e-09
R_9,1.40748766521e-08
