,log Q_r
R_1,-4.27429549754
R_2,-3.48688847755
R_3,0.07063949611
R_4,-1.33250206533
R_5,-1.4433037277
R_6,1.22332952674
R_7,-1.06980513456
R_8,-6.39397821125
R_9,-1.3999956394
