,Concentrations
A,1.38415043777e-05
B,4.23493617663e-07
C,1.48546231228e-05
D,5.09625524143e-06
E,0.000232462961756
F,4.10314972183e-08
A_ext,0.000994228579652
D_ext,8.5188646198e-09
E_ext,0.0009844022811
F_ext,1.01182867617e-08
