,fullS*net_probabilities
A,-0.0102252182365
B,-0.848232458566
C,0.434341360442
D,2.62020981018e-07
E,0.56565817207
F,0.424116143007
A_ext,-2.24487093248e-08
D_ext,5.27815925491e-08
E_ext,-0.565658314962
F_ext,2.38922210014e-08
