,Entropy
A,0.000236232335906
B,1.12253240912e-08
C,4.45712088373e-05
D,5.83002693176e-07
E,0.0186086368213
F,1.90141090056e-14
A_ext,0.112086277943
D_ext,1.46413532501e-13
E_ext,0.250183036517
F_ext,6.49731734401e-16
