,Log Concentrations
A,-11.1878389159
B,-14.6747273934
C,-11.1171994198
D,-12.1870045543
E,-8.3667796499
F,-17.0089258403
A_ext,-6.91354341834
D_ext,-18.5809827656
E_ext,-6.9234759222
F_ext,-18.4089214797
