,Forward likelihoods
R_1,5.72495063419
R_2,4.69433628314
R_3,2528110.32839
R_4,35.3573332699
R_5,139854816.85
R_6,104859572.07
R_7,7.31127198232
R_8,13.1260411463
R_9,6.07186813768
