,Delta G
R_1,-10.5957912788
R_2,-10.6438437731
R_3,-1.8248877839
R_4,-7.3032142422
R_5,-3.57788670892
R_6,-4.96741969806
R_7,-4.65200005974
R_8,-15.8503918615
R_9,-3.47052785538
