,Normalized Concentrations
A,0.00616446655855
B,0.000188607551074
C,0.00661567015998
D,0.00226967345113
E,0.10352994261
F,1.82738296032e-05
A_ext,0.442790657981
D_ext,3.79397026745e-06
E_ext,0.438414407599
F_ext,4.50629054983e-06
