,Backward Log likelihoods
R_1,-1.74483392655
R_2,-1.54635673592
R_3,-14.7429826759
R_4,-3.56550581835
R_5,-18.75611542
R_6,-18.4681326041
R_7,-1.98941726441
R_8,-2.57459813076
R_9,-1.8036663234
