,Normalized absolute activities
A,2.20302390192e-05
B,5.25359502744e-10
C,3.55206181043e-06
D,3.38955401185e-08
E,0.00324768702854
F,5.40890938516e-16
A_ext,0.880466614159
D_ext,4.43001133305e-15
E_ext,0.116260082091
F_ext,1.68220379708e-17
