,Chemical potential
A,-27.7341625262
B,-38.3780062992
C,-29.5590503101
D,-34.2110503698
E,-22.7408801982
F,-52.1643819864
A_ext,-17.1383712474
D_ext,-50.0614422313
E_ext,-19.1629934893
F_ext,-55.6349098418
