,fullS*net_likelihood
A,47091531632.6
B,30646646409.6
C,323.706451926
D,-13.7872078238
E,4982405.43504
F,-0.00137556036336
A_ext,-77738178367.9
D_ext,17.4189588626
E_ext,-4982407.1445
F_ext,-0.000629718924697
