,Log Concentrations
A,-4.95789998947
B,-11.1408966031
C,-7.32909309294
D,-5.52910511557
E,-4.60517018642
F,-4.60517018599
A_ext,-0.874367357278
D_ext,-0.99999999
E_ext,-0.998999999624
F_ext,-0.999999989969
