	Forward likelihoods	Backward likelihoods	Delta G	log Q_r	log K_eq	Delta G0	logK - logQ	logQ - logK	Forward Log likelihoods	Backward Log likelihoods	Forward probabilities	Backward probabilities	Net probabilities	Net likelihoods	Forward rate	Backward rate	Thermodynamic driving force	Net flux	Forward Entropy Production	Backward Entropy Production	Reaction Entropy Production	Net Reaction Entropy Production	Microscopic Reaction Entropy Production Rate	Microscopic Reaction Entropy Production Net Flux	Microscopic Reaction Entropy Production Net Flux Difference	Total Entropy Production	Total Microscopic Entropy Production Rate	Macroscopic Reaction Entropy Production Net Flux	Macroscopic Reaction Entropy Production Net Flux Difference	Total Macroscopic Entropy Production Net Flux	Total Macroscopic Entropy Production Net Flux Difference
R_1	77738178367.9	1.28636922166e-11	-10.1228984931	-4.08353263219	-0.0	0.0	4.08353263219	-4.08353263219	25.0766123297	-25.0766123297	0.717209303483	1.18679906432e-22	0.717209303483	77738178367.9	5.86181026902	7.54045231325e-11	10.1228984931	5.86181026895	0.238391454256	5.99162773498e-21	0.238391454256	0.238391454256	1.3974054746	1.39740547459	1.39740547459	0.596016818557	3.07022519994	2.49868312914	2.49868312914	6.24710803439	6.24710801745
R_2	30646646411.3	3.26299976375e-11	-17.3273777242	-6.18299661364	0.806791184361	-2.0	6.989787798	-6.989787798	24.1457890777	-24.1457890777	0.282744725799	3.01043044352e-22	0.282744725799	30646646411.3	4.67751780667	1.52627394981e-10	17.3273777242	4.67751780652	0.35716619619	1.49181245346e-20	0.35716619619	0.35716619619	1.67065124262	1.67065124256	1.67065124256	0.596016818557	3.07022519994	3.74361216724	3.74361216724	6.24710803439	6.24710801745
R_3	323.924386903	0.00308714021059	-7.87808382004	-2.37119310347	0.806791184361	-2.0	3.17798428783	-3.17798428783	5.7805101148	-5.7805101148	2.98851335071e-09	2.84818312788e-14	2.98848486887e-09	323.921299763	1.18796103684	0.00366740228545	7.87808382004	1.18429363456	5.86600037627e-08	8.8833436177e-13	5.8660892097e-08	5.86591154283e-08	6.96858021489e-08	6.94717211079e-08	6.94696170104e-08	0.596016818557	3.07022519994	6.14849982273e-07	6.14831360245e-07	6.24710803439	6.24710801745
R_4	2.17023403777	0.460779797292	7.62099103033	4.6878565584	1.61358236872	-4.0	-3.07427418968	3.07427418968	0.774835013244	-0.774835013244	2.00224918477e-11	4.25113585645e-12	1.57713559912e-11	1.70945424048	8.75904377097	4.03599041326	-7.62099103033	4.72305335771	4.93237365522e-10	1.11311039438e-10	6.0454840496e-10	3.81926326083e-10	4.76953796214e-09	2.85531437394e-09	1.80385841681e-09	0.596016818557	3.07022519994	6.3365312525e-09	4.00313371357e-09	6.24710803439	6.24710801745
R_5	4982407.1445	2.00706199032e-07	-8.93953790449	-3.6061701868	-0.0	0.0	3.6061701868	-3.6061701868	15.4214236946	-15.4214236946	4.59674876978e-05	1.8517073108e-18	4.59674876978e-05	4982407.1445	4.72305430565	9.47946277508e-07	8.93953790449	4.72305335771	0.000459103786129	7.56059938641e-17	0.00045910378613	0.000459103786129	0.00216837211382	0.00216837167862	0.00216837167862	0.596016818557	3.07022519994	0.00481206379024	0.00481206379023	6.24710803439	6.24710801745
R_6	0.998997862999	1.00100314229	17.6510733579	10.3475299273	3.22716473744	-8.0	-7.12036518985	7.12036518985	-0.00100263947604	0.00100263947604	9.21671405923e-12	9.2352146852e-12	-1.85006259687e-14	-0.00200527928805	22.6952852099	22.7180518102	-17.6510733579	-0.0227666003102	2.34196727606e-10	2.34648309377e-10	4.68845036983e-10	-4.51581771131e-13	1.06459139778e-08	-1.06740075644e-11	1.02809816907e-14	0.596016818557	3.07022519994	4.91416602053e-09	-4.73322232323e-12	6.24710803439	6.24710801745
R_7	1.11206808	0.899225522232	2.46209133731	1.79998797738	0.806791184361	-2.0	-0.993196793015	0.993196793015	0.10622141698	-0.10622141698	1.02598953285e-11	8.29621846067e-12	1.96367686787e-12	0.212842557773	11.5259807094	10.3644560227	-2.46209133731	1.16152468675	2.59603858707e-10	2.11679850077e-10	4.71283708784e-10	4.79240086295e-11	5.18613556456e-09	5.47407662218e-10	5.56649191114e-11	0.596016818557	3.07022519994	4.93972678616e-09	5.02312099304e-10	6.24710803439	6.24710801745
R_8	17.4761796066	0.0572207440362	11.2274531833	4.52910512557	-0.0	0.0	-4.52910512557	4.52910512557	2.86083878837	-2.86083878837	1.6123452937e-10	5.27916280477e-13	1.60706613089e-10	17.4189588626	11.1175856359	0.63615652197	-11.2274531833	10.4814291139	3.6355421442e-09	1.49241080875e-11	3.65046625228e-09	3.62061803611e-09	4.04279451896e-08	3.8262103256e-08	3.79492512939e-08	0.596016818557	3.07022519994	3.8262103256e-08	3.79492512939e-08	6.24710803439	6.24710801745
R_9	0.999685190106	1.00031490903	8.93705897115	3.60517019602	-0.0	0.0	-3.60517019602	3.60517019602	-0.000314859457146	0.000314859457146	9.22305531145e-12	9.22886507289e-12	-5.80976144353e-15	-0.000629718924697	72.2958000529	72.3185666532	-8.93705897115	-0.0227666003102	2.34351515407e-10	2.34493325874e-10	4.68844841281e-10	-1.41810466274e-13	3.39008515169e-08	-1.0674003109e-11	3.22854220546e-15	0.596016818557	3.07022519994	4.9141639693e-09	-1.48637634986e-12	6.24710803439	6.24710801745
