,Chemical potential
A,-12.2904168652
B,-29.6177945894
C,-20.1685006852
D,-17.7064093479
E,-13.4160151367
F,-21.4160151357
A_ext,-2.16751837211
D_ext,-6.47895616458
E_ext,-4.47647723225
F_ext,-12.4789561645
