,Entropy
A,0.000369068566262
B,2.96680593899e-11
C,2.47570335139e-07
D,2.50900363927e-06
E,0.000132923268845
F,7.60053771811e-08
A_ext,0.0960926902612
D_ext,0.0532581827784
E_ext,0.215708695554
F_ext,0.000311284005621
